Date;Public Equity;PE/VC;Hedge Funds;Real Assets & ILBs;Fixed Income;Private Credit;Cash;High Yield
31.03.2014;0.84%;1.16%;-0.48%;0.39%;-0.07%;-1.92%;0.00%;0.24%
30.04.2014;0.74%;0.66%;-0.21%;3.96%;1.13%;-1.84%;0.00%;0.63%
30.05.2014;2.35%;4.24%;1.13%;2.08%;0.59%;0.43%;0.00%;0.92%
30.06.2014;2.07%;2.58%;0.96%;1.32%;0.73%;4.80%;0.00%;0.84%
31.07.2014;-1.38%;-3.06%;-0.31%;-0.14%;-0.90%;-2.34%;0.00%;-1.33%
29.08.2014;4.00%;7.39%;0.88%;2.77%;0.55%;2.18%;0.00%;1.58%
30.09.2014;-1.40%;-2.74%;-0.01%;-5.99%;-2.79%;-4.28%;0.00%;-2.09%
31.10.2014;2.44%;4.80%;-0.80%;9.77%;0.01%;0.22%;0.00%;1.19%
28.11.2014;2.69%;4.95%;1.50%;1.80%;-0.37%;0.57%;0.00%;-0.73%
31.12.2014;-0.26%;-1.91%;0.01%;1.98%;-0.69%;-4.60%;0.00%;-1.45%
30.01.2015;-3.00%;-3.39%;0.81%;6.56%;-0.16%;-1.03%;0.00%;0.66%
27.02.2015;5.75%;9.12%;1.06%;-3.74%;-0.81%;5.94%;0.00%;2.41%
31.03.2015;-1.58%;-2.62%;0.60%;1.25%;-0.96%;-0.36%;0.00%;-0.55%
30.04.2015;0.96%;1.97%;0.02%;-5.57%;1.06%;1.15%;0.00%;1.21%
29.05.2015;1.29%;1.83%;0.83%;-0.42%;-1.79%;0.15%;0.00%;0.30%
30.06.2015;-1.94%;-2.96%;-1.31%;-4.43%;-0.44%;-3.42%;0.00%;-1.49%
31.07.2015;2.10%;5.60%;0.87%;5.45%;0.22%;-2.05%;0.01%;-0.58%
31.08.2015;-6.03%;-9.37%;-1.99%;-6.30%;0.12%;-0.81%;0.00%;-1.74%
30.09.2015;-2.47%;-4.37%;-1.41%;2.75%;0.51%;-5.56%;0.00%;-2.60%
30.10.2015;8.44%;15.79%;0.53%;5.49%;0.21%;2.56%;0.01%;2.75%
30.11.2015;0.30%;-0.15%;0.20%;-0.72%;-1.66%;4.13%;0.01%;-2.22%
31.12.2015;-1.59%;-2.50%;-0.85%;2.15%;0.53%;-4.11%;0.01%;-2.52%
29.01.2016;-4.96%;-9.57%;-1.41%;-3.60%;0.87%;-6.47%;0.03%;-1.61%
29.02.2016;-0.14%;-1.90%;-1.08%;-0.57%;2.23%;-0.11%;0.03%;0.57%
31.03.2016;6.78%;10.70%;0.29%;10.31%;2.70%;8.72%;0.02%;4.44%
29.04.2016;0.39%;-0.80%;0.34%;-2.02%;1.33%;3.03%;0.02%;3.92%
31.05.2016;1.79%;3.22%;0.36%;2.37%;-1.34%;0.01%;0.02%;0.62%
30.06.2016;0.26%;-0.13%;-0.10%;6.53%;2.92%;2.64%;0.02%;0.92%
29.07.2016;3.69%;4.72%;1.15%;4.29%;0.75%;6.19%;0.02%;2.70%
31.08.2016;0.14%;0.25%;0.47%;-3.70%;-0.49%;4.95%;0.03%;2.09%
30.09.2016;0.02%;0.19%;0.12%;-2.18%;0.55%;-0.77%;0.02%;0.67%
31.10.2016;-1.82%;-1.89%;-0.18%;-5.99%;-2.78%;-1.24%;0.02%;0.39%
30.11.2016;3.70%;3.26%;0.36%;-1.77%;-3.97%;4.03%;0.04%;-0.47%
30.12.2016;1.97%;1.47%;0.96%;4.36%;-0.46%;1.91%;0.04%;1.85%
31.01.2017;1.90%;2.71%;0.70%;-0.46%;1.13%;2.41%;0.04%;1.45%
28.02.2017;3.97%;4.38%;0.97%;3.49%;0.47%;2.92%;0.05%;1.46%
31.03.2017;0.12%;0.19%;0.39%;-2.81%;0.15%;0.67%;0.06%;-0.22%
28.04.2017;1.03%;1.52%;0.43%;0.88%;1.13%;0.84%;0.07%;1.15%
31.05.2017;1.41%;1.68%;0.82%;-0.77%;1.55%;-3.55%;0.08%;0.87%
30.06.2017;0.62%;-0.45%;-0.49%;1.96%;-0.09%;1.02%;0.08%;0.14%
31.07.2017;2.06%;1.73%;1.37%;0.95%;1.68%;1.65%;0.09%;1.11%
31.08.2017;0.31%;0.21%;0.59%;-0.39%;0.99%;-2.84%;0.08%;-0.04%
29.09.2017;2.06%;3.48%;-0.15%;-0.12%;-0.90%;3.04%;0.09%;0.90%
31.10.2017;2.33%;4.15%;1.28%;-1.35%;-0.38%;-1.41%;0.09%;0.42%
30.11.2017;3.07%;5.74%;0.10%;2.76%;1.11%;-1.60%;0.10%;-0.26%
29.12.2017;1.10%;2.57%;0.91%;-0.64%;0.35%;-0.47%;0.11%;0.30%
31.01.2018;5.72%;8.49%;2.71%;-4.45%;1.19%;-0.53%;0.12%;0.60%
28.02.2018;-3.69%;-7.36%;-2.12%;-7.72%;-0.89%;-2.65%;0.14%;-0.85%
30.03.2018;-2.54%;-5.25%;-0.06%;3.55%;1.06%;2.29%;0.14%;-0.60%
30.04.2018;0.38%;0.23%;0.05%;2.57%;-1.60%;2.30%;0.15%;0.65%
31.05.2018;2.41%;3.60%;0.28%;4.56%;-0.76%;2.19%;0.16%;-0.03%
29.06.2018;0.61%;0.03%;-0.23%;3.62%;-0.44%;0.16%;0.16%;0.40%
31.07.2018;3.72%;5.85%;0.36%;0.49%;-0.17%;2.45%;0.17%;1.09%
31.08.2018;3.26%;4.89%;0.12%;3.36%;0.10%;2.14%;0.17%;0.74%
28.09.2018;0.57%;1.12%;0.10%;-3.11%;-0.86%;-0.39%;0.18%;0.56%
31.10.2018;-6.84%;-12.65%;-2.57%;-2.68%;-1.12%;-4.38%;0.19%;-1.60%
30.11.2018;2.04%;3.32%;-0.59%;5.01%;0.31%;-0.21%;0.19%;-0.86%
31.12.2018;-9.03%;-12.07%;-1.19%;-8.66%;2.02%;-7.22%;0.19%;-2.14%
31.01.2019;8.01%;11.29%;1.77%;11.57%;1.52%;11.32%;0.20%;4.52%
28.02.2019;3.21%;4.37%;1.08%;0.28%;-0.58%;2.36%;0.20%;1.66%
29.03.2019;1.94%;0.48%;1.09%;3.43%;1.25%;-0.72%;0.20%;0.94%
30.04.2019;4.05%;4.59%;1.36%;0.34%;-0.30%;3.66%;0.20%;1.42%
31.05.2019;-6.35%;-11.30%;-1.00%;0.00%;1.35%;-3.15%;0.19%;-1.19%
28.06.2019;7.05%;12.82%;2.00%;0.89%;2.22%;2.57%;0.17%;2.28%
31.07.2019;1.44%;1.54%;0.72%;1.18%;-0.28%;1.56%;0.17%;0.56%
30.08.2019;-1.58%;-2.63%;-0.14%;3.20%;2.03%;-2.45%;0.16%;0.40%
30.09.2019;1.87%;4.02%;-0.32%;2.56%;-1.02%;2.52%;0.15%;0.36%
31.10.2019;2.17%;-0.62%;0.34%;1.29%;0.67%;-0.71%;0.13%;0.28%
29.11.2019;3.63%;5.53%;0.47%;-1.28%;-0.76%;2.34%;0.13%;0.33%
31.12.2019;3.01%;4.29%;1.61%;-1.14%;0.58%;1.95%;0.13%;2.00%
31.01.2020;-0.04%;-0.51%;0.16%;1.02%;1.28%;1.08%;0.13%;0.03%
28.02.2020;-8.23%;-16.61%;-1.99%;-8.04%;0.67%;-9.03%;0.10%;-1.41%
31.03.2020;-12.35%;-19.48%;-7.28%;-21.40%;-2.24%;-34.93%;0.01%;-11.46%
30.04.2020;12.82%;21.08%;2.43%;8.84%;1.96%;15.10%;0.01%;4.51%
29.05.2020;4.76%;6.34%;2.49%;0.17%;0.44%;7.63%;0.01%;4.41%
30.06.2020;1.99%;3.20%;1.16%;2.85%;0.89%;0.60%;0.01%;0.98%
31.07.2020;5.64%;10.28%;2.64%;3.95%;3.19%;0.86%;0.01%;4.69%
31.08.2020;7.19%;16.26%;1.72%;1.13%;-0.15%;4.18%;0.01%;0.95%
30.09.2020;-3.80%;-8.56%;-0.93%;-3.46%;-0.36%;0.18%;0.01%;-1.03%
30.10.2020;-2.66%;-6.18%;-0.47%;-2.74%;0.10%;-3.35%;0.01%;0.51%
30.11.2020;10.95%;21.66%;2.99%;10.78%;1.82%;18.71%;0.01%;3.96%
31.12.2020;3.84%;5.76%;3.78%;3.11%;1.34%;2.64%;0.00%;1.88%
29.01.2021;-1.02%;-1.67%;-0.22%;0.02%;-0.88%;3.71%;0.00%;0.33%
26.02.2021;2.76%;3.19%;2.33%;4.39%;-1.72%;7.83%;0.00%;0.37%
31.03.2021;4.38%;3.15%;0.73%;4.52%;-1.92%;4.14%;0.00%;0.15%
30.04.2021;5.34%;4.53%;2.59%;8.21%;1.26%;5.33%;0.00%;1.09%
31.05.2021;0.70%;-0.21%;1.10%;1.17%;0.94%;1.78%;0.00%;0.30%
30.06.2021;2.33%;1.84%;-0.67%;2.41%;-0.88%;1.35%;0.00%;1.34%
30.07.2021;2.38%;1.98%;0.28%;4.80%;1.33%;-0.22%;0.00%;0.38%
31.08.2021;3.04%;4.01%;0.92%;2.31%;-0.42%;1.98%;0.00%;0.51%
30.09.2021;-4.65%;-7.77%;-0.02%;-5.86%;-1.78%;-0.17%;0.00%;-0.01%
29.10.2021;7.01%;11.99%;1.28%;7.64%;-0.24%;4.46%;0.00%;-0.17%
30.11.2021;-0.70%;1.34%;-2.21%;-0.48%;-0.29%;-0.88%;0.00%;-0.97%
31.12.2021;4.47%;5.12%;1.92%;8.71%;-0.14%;0.75%;0.00%;1.87%
31.01.2022;-5.17%;-12.85%;-0.66%;-7.01%;-2.05%;0.34%;0.01%;-2.73%
28.02.2022;-3.00%;-6.04%;0.37%;-2.96%;-1.19%;-1.46%;0.02%;-1.03%
31.03.2022;3.71%;6.72%;2.43%;6.65%;-3.05%;1.76%;0.04%;-1.15%
29.04.2022;-8.72%;-18.90%;0.39%;-4.13%;-5.48%;-3.83%;0.07%;-3.56%
31.05.2022;0.18%;-0.14%;-0.63%;-5.99%;0.27%;-3.44%;0.09%;0.25%
30.06.2022;-8.26%;-11.69%;-2.06%;-7.58%;-3.21%;-6.59%;0.13%;-6.73%
29.07.2022;9.22%;11.80%;0.53%;8.83%;2.13%;7.11%;0.19%;5.90%
31.08.2022;-4.08%;-5.23%;0.51%;-5.63%;-3.95%;-0.45%;0.24%;-2.30%
30.09.2022;-9.21%;-11.97%;-0.68%;-12.49%;-5.14%;-12.04%;0.27%;-3.97%
31.10.2022;8.10%;14.76%;0.55%;4.81%;-0.69%;6.52%;0.33%;2.60%
30.11.2022;5.59%;7.40%;0.26%;5.99%;4.71%;5.91%;0.35%;2.17%
30.12.2022;-5.77%;-4.06%;0.10%;-5.61%;0.54%;-4.14%;0.35%;-0.62%
31.01.2023;6.28%;1.70%;1.85%;10.47%;3.28%;7.88%;0.38%;3.81%
28.02.2023;-2.45%;-7.17%;-0.94%;-4.89%;-3.32%;0.27%;0.39%;-1.29%
31.03.2023;3.67%;-2.20%;-0.72%;-2.37%;3.16%;-3.71%;0.38%;1.07%
28.04.2023;1.56%;3.90%;0.31%;1.53%;0.44%;0.38%;0.41%;1.00%
31.05.2023;0.43%;-10.22%;-0.18%;-2.93%;-1.95%;-1.42%;0.44%;-0.92%
30.06.2023;6.61%;9.58%;1.57%;4.74%;-0.01%;5.66%;0.43%;1.67%
31.07.2023;3.21%;5.36%;1.30%;2.77%;0.69%;5.97%;0.44%;1.38%
31.08.2023;-1.59%;-2.80%;0.17%;-2.71%;-1.37%;-0.47%;0.44%;0.28%
29.09.2023;-4.77%;-9.54%;0.33%;-7.44%;-2.92%;0.89%;0.44%;-1.18%
31.10.2023;-2.10%;-4.52%;-0.13%;-4.46%;-1.20%;-4.85%;0.44%;-1.16%
30.11.2023;9.13%;16.89%;1.46%;10.74%;5.04%;6.42%;0.44%;4.53%
29.12.2023;4.53%;6.99%;0.70%;9.21%;4.16%;4.69%;0.43%;3.73%
